status,run_group,c3,d4,source
written,4,-0.258819,0.0,signal_57
written,4,-0.5,-100.0,signal_57
written,4,-0.5,-70.7107,signal_57
written,4,-0.5,0.0,signal_57
written,4,-0.5,100.0,signal_57
written,4,-0.5,70.7107,signal_57
written,4,-0.707107,0.0,signal_57
written,4,-0.866025,-100.0,signal_57
written,4,-0.866025,-70.7107,signal_57
written,4,-0.866025,0.0,signal_57
written,4,-0.866025,100.0,signal_57
written,4,-0.866025,70.7107,signal_57
written,4,-0.965926,0.0,signal_57
written,4,-1.0,-100.0,signal_57
written,4,-1.0,-70.7107,signal_57
written,4,-1.0,0.0,signal_57
written,4,-1.0,100.0,signal_57
written,4,-1.0,70.7107,signal_57
written,4,-15.0,0.0,signal_57
written,4,-21.2132,-700.0,signal_57
written,4,-21.2132,700.0,signal_57
written,4,-25.9808,0.0,signal_57
written,4,-30.0,-700.0,signal_57
written,4,-30.0,0.0,signal_57
written,4,-30.0,700.0,signal_57
written,4,0.0,-100.0,signal_57
written,4,0.0,-70.7107,signal_57
written,4,0.0,-700.0,signal_57
written,4,0.0,0.0,signal_57
written,4,0.0,100.0,signal_57
written,4,0.0,70.7107,signal_57
written,4,0.0,700.0,signal_57
written,4,0.258819,0.0,signal_57
written,4,0.5,-100.0,signal_57
written,4,0.5,-70.7107,signal_57
written,4,0.5,0.0,signal_57
written,4,0.5,100.0,signal_57
written,4,0.5,70.7107,signal_57
written,4,0.707107,0.0,signal_57
written,4,0.866025,-100.0,signal_57
written,4,0.866025,-70.7107,signal_57
written,4,0.866025,0.0,signal_57
written,4,0.866025,100.0,signal_57
written,4,0.866025,70.7107,signal_57
written,4,0.965926,0.0,signal_57
written,4,1.0,-100.0,signal_57
written,4,1.0,-70.7107,signal_57
written,4,1.0,0.0,signal_57
written,4,1.0,100.0,signal_57
written,4,1.0,70.7107,signal_57
written,4,15.0,0.0,signal_57
written,4,21.2132,-700.0,signal_57
written,4,21.2132,700.0,signal_57
written,4,25.9808,0.0,signal_57
written,4,30.0,-700.0,signal_57
written,4,30.0,0.0,signal_57
written,4,30.0,700.0,signal_57
written,4,-12.0,-300.0,bridge_60
written,4,-12.0,-200.0,bridge_60
written,4,-12.0,-100.0,bridge_60
written,4,-12.0,0.0,bridge_60
written,4,-12.0,100.0,bridge_60
written,4,-12.0,200.0,bridge_60
written,4,-12.0,300.0,bridge_60
written,4,-9.0,-300.0,bridge_60
written,4,-9.0,-200.0,bridge_60
written,4,-9.0,-100.0,bridge_60
written,4,-9.0,0.0,bridge_60
written,4,-9.0,100.0,bridge_60
written,4,-9.0,200.0,bridge_60
written,4,-9.0,300.0,bridge_60
written,4,-6.0,-300.0,bridge_60
written,4,-6.0,-200.0,bridge_60
written,4,-6.0,-100.0,bridge_60
written,4,-6.0,0.0,bridge_60
written,4,-6.0,100.0,bridge_60
written,4,-6.0,200.0,bridge_60
written,4,-6.0,300.0,bridge_60
written,4,-3.0,-300.0,bridge_60
written,4,-3.0,-200.0,bridge_60
written,4,-3.0,-100.0,bridge_60
written,4,-3.0,0.0,bridge_60
written,4,-3.0,100.0,bridge_60
written,4,-3.0,200.0,bridge_60
written,4,-3.0,300.0,bridge_60
written,4,0.0,-300.0,bridge_60
written,4,0.0,-200.0,bridge_60
written,4,0.0,200.0,bridge_60
written,4,0.0,300.0,bridge_60
written,4,3.0,-300.0,bridge_60
written,4,3.0,-200.0,bridge_60
written,4,3.0,-100.0,bridge_60
written,4,3.0,0.0,bridge_60
written,4,3.0,100.0,bridge_60
written,4,3.0,200.0,bridge_60
written,4,3.0,300.0,bridge_60
written,4,6.0,-300.0,bridge_60
written,4,6.0,-200.0,bridge_60
written,4,6.0,-100.0,bridge_60
written,4,6.0,0.0,bridge_60
written,4,6.0,100.0,bridge_60
written,4,6.0,200.0,bridge_60
written,4,6.0,300.0,bridge_60
written,4,9.0,-300.0,bridge_60
written,4,9.0,-200.0,bridge_60
written,4,9.0,-100.0,bridge_60
written,4,9.0,0.0,bridge_60
written,4,9.0,100.0,bridge_60
written,4,9.0,200.0,bridge_60
written,4,9.0,300.0,bridge_60
written,4,12.0,-300.0,bridge_60
written,4,12.0,-200.0,bridge_60
written,4,12.0,-100.0,bridge_60
written,4,12.0,0.0,bridge_60
written,4,12.0,100.0,bridge_60
written,4,12.0,200.0,bridge_60
written,4,12.0,300.0,bridge_60
