sample_id,role,description,root_file,raw_root,source_run,source_lhe,cross_section_fb,generated_events,generated_sumw,k_factor,hbb_power,c_mistags,light_mistags,optional,regenerate,lhe_event_count,hard_event_policy,normalization_source,normalization_uncertainty_fb,normalization_relative_uncertainty,normalization_previous_cross_section_fb
HW-gg_hhhh_SM,sm_hhhh,SM gg -> hhhh,ResonanceAnalysis/features/ak8-v1/backgrounds/HW-gg_hhhh_SM_fatjet.root,ResonanceAnalysis/raw_backgrounds_ak8-v1/HW-gg_hhhh_SM-ak8-v1.root,Signals/HW-gg_hhhh_SM.run,Signals/gg_hhhh_SM.lhe.gz,0.000124288,10000,,2.0,4,0,0,false,false,10000,existing_branch_complete,,,,
HW-gg_hhhbb_SM,sm_hhhbb,SM gg -> hhhg with forced g -> bb (hhh+bb approximation),ResonanceAnalysis/features/ak8-v1/backgrounds/HW-gg_hhhbb_SM_fatjet.root,ResonanceAnalysis/raw_backgrounds_ak8-v1/HW-gg_hhhbb_SM-ak8-v1.root,HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_parallel2_w1/run_gg_hhhg_4_0.0_0.0/run_gg_hhhg_4_0.0_0.0_hhhbb_stage2.run,HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_parallel2_w1/run_gg_hhhg_4_0.0_0.0/run_gg_hhhg_4_0.0_0.0_split.weighted.merged.lhe.gz,0.000431371657238,10000,,2.0,3,0,0,false,false,10000,existing_branch_complete,,,,
HW-gg_hh4b_SM_HEFT,sm_hh4b,SM HEFT gg -> hh + 4b,ResonanceAnalysis/features/ak8-v1/backgrounds/HW-gg_hh4b_SM_HEFT_fatjet.root,ResonanceAnalysis/raw_backgrounds_ak8-v1/HW-gg_hh4b_SM_HEFT-ak8-v1.root,HerwigSignalPoints/sm_hh4b_heft/HW-run_gg_hhbbbb_heft_4_0.0_0.0.run,Signals/sm_hh4b_heft/lhe/gg_hh4b_ufo_heft_sm_9515events_normalized.lhe,0.00962241,9515,,2.0,2,0,0,false,false,9515,existing_branch_complete,,,,
HW-gg_to_8b,background,gg -> 8b,ResonanceAnalysis/features/ak8-v1/backgrounds/HW-gg_to_8b_fatjet.root,ResonanceAnalysis/raw_backgrounds_ak8-v1/HW-gg_to_8b-ak8-v1.root,Backgrounds/HW-gg_to_8b.run,Backgrounds/merged_gg8b_colorflow_sherpa_runs_plus_150000_plus_200000_plus_300000_plus_400000_plus_500000_plus_600000_plus_700000_20260705_weighted.lhe,1.03875,708227,,2.0,0,0,0,false,true,708227,no_hard_event_reuse,,,,
HW-gg_h6b_heft,background,gg -> h + 6b with forced h -> bb,ResonanceAnalysis/features/ak8-v1/backgrounds/HW-gg_h6b_heft_fatjet.root,ResonanceAnalysis/raw_backgrounds_ak8-v1/HW-gg_h6b_heft-ak8-v1.root,Backgrounds/HW-gg_h6b_heft.run,Backgrounds/merged_gg_h6b_heft_events_10k_1_plus_20k_2_20260707_weighted.lhe,0.000312497,30000,,2.0,1,0,0,false,true,30000,no_hard_event_reuse,,,,
HW-pp_to_z_6b_z_to_bb,background,pp -> Z + 6b with Z -> bb already selected,ResonanceAnalysis/features/ak8-v1/backgrounds/HW-pp_to_z_6b_z_to_bb_fatjet.root,ResonanceAnalysis/raw_backgrounds_ak8-v1/HW-pp_to_z_6b_z_to_bb-ak8-v1.root,Backgrounds/HW-pp_to_z_6b_z_to_bb.run,Backgrounds/merged_z6b_events_10k_1_to_11_unique_20260703-121854.lhe,0.0337775,92825,,2.0,0,0,0,false,true,92825,no_hard_event_reuse,,,,
HW-gg_to_6b_2j,background,gg -> 6b + 2 light jets,ResonanceAnalysis/features/ak8-v1/backgrounds/HW-gg_to_6b_2j_fatjet.root,ResonanceAnalysis/raw_backgrounds_ak8-v1/HW-gg_to_6b_2j-ak8-v1.root,Backgrounds/HW-gg_to_6b_2j.run,Backgrounds/merged_gg6b2j_events_50k_1_thusfar_20260703_weighted.lhe,680.764,20933,,2.0,0,0,2,false,true,20933,no_hard_event_reuse,,,,
HW-gg_to_6b_2c,background,gg -> 6b + ccbar,ResonanceAnalysis/features/ak8-v1/backgrounds/HW-gg_to_6b_2c_fatjet.root,ResonanceAnalysis/raw_backgrounds_ak8-v1/HW-gg_to_6b_2c-ak8-v1.root,Backgrounds/HW-gg_to_6b_2c.run,Backgrounds/merged_gg6b2c_events_10k_1_to_5_20260703_weighted.lhe,5.23831,50000,,2.0,0,2,0,false,true,50000,no_hard_event_reuse,,,,
HW-ttbar4b_1c3j,background,ttbar + 4b candidate composition 4b+1c+3j,ResonanceAnalysis/features/ak8-v1/backgrounds/HW-ttbar4b_1c3j_fatjet.root,ResonanceAnalysis/raw_backgrounds_ak8-v1/HW-ttbar4b_1c3j-ak8-v1.root,Backgrounds/HW-ttbar4b_1c3j.run,Backgrounds/merged_ttbar4b_1c3j_events_20k_1_20260706_weighted.lhe,0.809702,20000,,2.0,0,1,3,false,true,20000,no_hard_event_reuse,,,,
HW-ttbar4b_2c2j,background,ttbar + 4b candidate composition 4b+2c+2j,ResonanceAnalysis/features/ak8-v1/backgrounds/HW-ttbar4b_2c2j_fatjet.root,ResonanceAnalysis/raw_backgrounds_ak8-v1/HW-ttbar4b_2c2j-ak8-v1.root,Backgrounds/HW-ttbar4b_2c2j.run,Backgrounds/merged_ttbar4b_2c2j_events_20k_1_snapshot_20260706_weighted.lhe,0.387863,20000,,2.0,0,2,2,false,true,20000,no_hard_event_reuse,,,,
