index,worker,order_in_worker,source,c3,d4,run_name,target_events,seed,status,event_count,cross_section_pb,lhe_file,log_file,updated_at,error
1,1,1,refinement_36,-10.5,-50.0,run_gg_4h_5_-10.5_-50.0,40000,851125212,complete,40000,0.00028816,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_5_-10.5_-50.0/unweighted_events.lhe.gz,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MadGraphCards/c3d4_refinement_40k/logs/worker_01/run_gg_4h_5_-10.5_-50.0.log,2026-07-26T22:45:44+00:00,
2,2,1,refinement_36,-10.5,50.0,run_gg_4h_5_-10.5_50.0,40000,131577902,complete,40000,0.00264936,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_5_-10.5_50.0/unweighted_events.lhe.gz,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MadGraphCards/c3d4_refinement_40k/logs/worker_02/run_gg_4h_5_-10.5_50.0.log,2026-07-26T22:45:45+00:00,
3,3,1,refinement_36,-7.5,-150.0,run_gg_4h_5_-7.5_-150.0,40000,284153160,complete,40000,0.00148794,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_5_-7.5_-150.0/unweighted_events.lhe.gz,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MadGraphCards/c3d4_refinement_40k/logs/worker_03/run_gg_4h_5_-7.5_-150.0.log,2026-07-26T22:45:45+00:00,
4,4,1,refinement_36,-7.5,-50.0,run_gg_4h_5_-7.5_-50.0,40000,338432600,complete,40000,9.8406e-05,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_5_-7.5_-50.0/unweighted_events.lhe.gz,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MadGraphCards/c3d4_refinement_40k/logs/worker_04/run_gg_4h_5_-7.5_-50.0.log,2026-07-26T22:45:45+00:00,
5,5,1,refinement_36,-7.5,50.0,run_gg_4h_5_-7.5_50.0,40000,36892471,complete,40000,0.00073499,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_5_-7.5_50.0/unweighted_events.lhe.gz,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MadGraphCards/c3d4_refinement_40k/logs/worker_05/run_gg_4h_5_-7.5_50.0.log,2026-07-26T22:45:46+00:00,
6,6,1,refinement_36,-4.5,-150.0,run_gg_4h_5_-4.5_-150.0,40000,708616138,complete,40000,0.00076398,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_5_-4.5_-150.0/unweighted_events.lhe.gz,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MadGraphCards/c3d4_refinement_40k/logs/worker_06/run_gg_4h_5_-4.5_-150.0.log,2026-07-26T22:45:46+00:00,
7,7,1,refinement_36,-4.5,50.0,run_gg_4h_5_-4.5_50.0,40000,233534837,complete,40000,0.000152746,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_5_-4.5_50.0/unweighted_events.lhe.gz,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MadGraphCards/c3d4_refinement_40k/logs/worker_07/run_gg_4h_5_-4.5_50.0.log,2026-07-26T22:45:46+00:00,
8,8,1,refinement_36,-4.5,150.0,run_gg_4h_5_-4.5_150.0,40000,665013912,complete,40000,0.0010138,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_5_-4.5_150.0/unweighted_events.lhe.gz,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MadGraphCards/c3d4_refinement_40k/logs/worker_08/run_gg_4h_5_-4.5_150.0.log,2026-07-26T22:45:47+00:00,
9,9,1,refinement_36,-1.5,-250.0,run_gg_4h_5_-1.5_-250.0,40000,564259400,complete,40000,0.00053833,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_5_-1.5_-250.0/unweighted_events.lhe.gz,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MadGraphCards/c3d4_refinement_40k/logs/worker_09/run_gg_4h_5_-1.5_-250.0.log,2026-07-26T22:45:47+00:00,
10,10,1,refinement_36,-1.5,-150.0,run_gg_4h_5_-1.5_-150.0,40000,23804151,complete,40000,0.000195411,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_5_-1.5_-150.0/unweighted_events.lhe.gz,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MadGraphCards/c3d4_refinement_40k/logs/worker_10/run_gg_4h_5_-1.5_-150.0.log,2026-07-26T22:45:47+00:00,
11,11,1,refinement_36,-1.5,150.0,run_gg_4h_5_-1.5_150.0,40000,416630201,complete,40000,0.000186214,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_5_-1.5_150.0/unweighted_events.lhe.gz,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MadGraphCards/c3d4_refinement_40k/logs/worker_11/run_gg_4h_5_-1.5_150.0.log,2026-07-26T22:45:48+00:00,
12,1,2,refinement_36,-1.5,250.0,run_gg_4h_5_-1.5_250.0,40000,25879033,complete,40000,0.00052294,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_5_-1.5_250.0/unweighted_events.lhe.gz,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MadGraphCards/c3d4_refinement_40k/logs/worker_01/run_gg_4h_5_-1.5_250.0.log,2026-07-26T22:45:48+00:00,
13,2,2,refinement_36,1.5,-250.0,run_gg_4h_5_1.5_-250.0,40000,704930491,complete,40000,0.00062411,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_5_1.5_-250.0/unweighted_events.lhe.gz,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MadGraphCards/c3d4_refinement_40k/logs/worker_02/run_gg_4h_5_1.5_-250.0.log,2026-07-26T22:45:48+00:00,
14,3,2,refinement_36,1.5,-150.0,run_gg_4h_5_1.5_-150.0,40000,399834556,complete,40000,0.000230662,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_5_1.5_-150.0/unweighted_events.lhe.gz,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MadGraphCards/c3d4_refinement_40k/logs/worker_03/run_gg_4h_5_1.5_-150.0.log,2026-07-26T22:45:49+00:00,
15,4,2,refinement_36,1.5,150.0,run_gg_4h_5_1.5_150.0,40000,305278584,complete,40000,0.000201304,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_5_1.5_150.0/unweighted_events.lhe.gz,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MadGraphCards/c3d4_refinement_40k/logs/worker_04/run_gg_4h_5_1.5_150.0.log,2026-07-26T22:45:49+00:00,
16,5,2,refinement_36,1.5,250.0,run_gg_4h_5_1.5_250.0,40000,209568557,complete,40000,0.00057502,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_5_1.5_250.0/unweighted_events.lhe.gz,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MadGraphCards/c3d4_refinement_40k/logs/worker_05/run_gg_4h_5_1.5_250.0.log,2026-07-26T22:45:49+00:00,
17,6,2,refinement_36,4.5,-150.0,run_gg_4h_5_4.5_-150.0,40000,675819458,complete,40000,0.0009745,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_5_4.5_-150.0/unweighted_events.lhe.gz,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MadGraphCards/c3d4_refinement_40k/logs/worker_06/run_gg_4h_5_4.5_-150.0.log,2026-07-26T22:45:50+00:00,
