index,c3,d4,run_name,target_events,herwig_generated_events,mg5_xsec_pb,mg5_xsec_fb,herwig_total_xsec_nb,analysis_xsec_fb,relative_difference,root_bytes,status
1,-10.5,-50.0,run_gg_4h_5_-10.5_-50.0,40000,40000,0.00028816,0.28816,2.8815e-07,0.28815,3.47029428094e-05,35866095,ok
2,-10.5,50.0,run_gg_4h_5_-10.5_50.0,40000,40000,0.00264936,2.64936,2.649e-06,2.649,0.000135881873358,35952132,ok
3,-7.5,-150.0,run_gg_4h_5_-7.5_-150.0,40000,40000,0.00148794,1.48794,1.48794e-06,1.48794,0,36909387,ok
4,-7.5,-50.0,run_gg_4h_5_-7.5_-50.0,40000,40000,9.8406e-05,0.098406,9.8396e-08,0.098396,0.00010161981993,37116667,ok
5,-7.5,50.0,run_gg_4h_5_-7.5_50.0,40000,40000,0.00073499,0.73499,7.3497e-07,0.73497,2.72112545749e-05,36134989,ok
6,-4.5,-150.0,run_gg_4h_5_-4.5_-150.0,40000,40000,0.00076398,0.76398,7.6392e-07,0.76392,7.85360873321e-05,36802554,ok
7,-4.5,50.0,run_gg_4h_5_-4.5_50.0,40000,40000,0.000152746,0.152746,1.5273e-07,0.15273,0.000104749060532,36518893,ok
8,-4.5,150.0,run_gg_4h_5_-4.5_150.0,40000,40000,0.0010138,1.0138,1.0137e-06,1.0137,9.86387847704e-05,36596869,ok
9,-1.5,-250.0,run_gg_4h_5_-1.5_-250.0,40000,40000,0.00053833,0.53833,5.3829e-07,0.53829,7.43038656587e-05,37006089,ok
10,-1.5,-150.0,run_gg_4h_5_-1.5_-150.0,40000,40000,0.000195411,0.195411,1.954e-07,0.1954,5.62916110148e-05,37029011,ok
11,-1.5,150.0,run_gg_4h_5_-1.5_150.0,40000,40000,0.000186214,0.186214,1.862e-07,0.1862,7.51823171189e-05,36970920,ok
12,-1.5,250.0,run_gg_4h_5_-1.5_250.0,40000,40000,0.00052294,0.52294,5.229e-07,0.5229,7.64906107774e-05,37035066,ok
13,1.5,-250.0,run_gg_4h_5_1.5_-250.0,40000,40000,0.00062411,0.62411,6.2409e-07,0.62409,3.20456329812e-05,37089364,ok
14,1.5,-150.0,run_gg_4h_5_1.5_-150.0,40000,40000,0.000230662,0.230662,2.3064e-07,0.23064,9.53776521491e-05,37106587,ok
15,1.5,150.0,run_gg_4h_5_1.5_150.0,40000,40000,0.000201304,0.201304,2.0129e-07,0.20129,6.95465564519e-05,37091337,ok
16,1.5,250.0,run_gg_4h_5_1.5_250.0,40000,40000,0.00057502,0.57502,5.7499e-07,0.57499,5.21720983618e-05,37026870,ok
17,4.5,-150.0,run_gg_4h_5_4.5_-150.0,40000,40000,0.0009745,0.9745,9.744e-07,0.9744,0.000102616726526,36760650,ok
18,4.5,-50.0,run_gg_4h_5_4.5_-50.0,40000,40000,0.000118112,0.118112,1.181e-07,0.1181,0.000101598482796,36850771,ok
19,4.5,50.0,run_gg_4h_5_4.5_50.0,40000,40000,0.000106678,0.106678,1.06673e-07,0.106673,4.68700200603e-05,36666145,ok
20,4.5,150.0,run_gg_4h_5_4.5_150.0,40000,40000,0.00094075,0.94075,9.4075e-07,0.94075,0,36652490,ok
21,7.5,-50.0,run_gg_4h_5_7.5_-50.0,40000,40000,0.000215079,0.215079,2.1505e-07,0.21505,0.000134834177209,37077014,ok
22,7.5,50.0,run_gg_4h_5_7.5_50.0,40000,40000,0.00044604,0.44604,4.46e-07,0.446,8.96780557797e-05,36199205,ok
23,10.5,-50.0,run_gg_4h_5_10.5_-50.0,40000,40000,0.00029182,0.29182,2.9181e-07,0.29181,3.42676992667e-05,37254112,ok
24,10.5,50.0,run_gg_4h_5_10.5_50.0,40000,40000,0.00155896,1.55896,1.55892e-06,1.55892,2.56581310619e-05,35979010,ok
25,-3.0,-350.0,run_gg_4h_5_-3.0_-350.0,40000,40000,0.0023788,2.3788,2.3786e-06,2.3786,8.40760047082e-05,36785982,ok
26,-3.0,350.0,run_gg_4h_5_-3.0_350.0,40000,40000,0.00247775,2.47775,2.4774e-06,2.4774,0.000141257188982,36731957,ok
27,-1.5,-350.0,run_gg_4h_5_-1.5_-350.0,40000,40000,0.00104798,1.04798,1.04795e-06,1.04795,2.86265005055e-05,37016986,ok
28,-1.5,350.0,run_gg_4h_5_-1.5_350.0,40000,40000,0.00102943,1.02943,1.02938e-06,1.02938,4.85705681786e-05,37085381,ok
29,0.0,-350.0,run_gg_4h_5_0.0_-350.0,40000,40000,0.00064069,0.64069,6.4066e-07,0.64066,4.68245173172e-05,37414837,ok
30,0.0,350.0,run_gg_4h_5_0.0_350.0,40000,40000,0.0006078,0.6078,6.0775e-07,0.60775,8.22639025995e-05,37389986,ok
31,1.5,-350.0,run_gg_4h_5_1.5_-350.0,40000,40000,0.00120906,1.20906,1.20903e-06,1.20903,2.48126643839e-05,37089293,ok
32,1.5,350.0,run_gg_4h_5_1.5_350.0,40000,40000,0.00114209,1.14209,1.1419e-06,1.1419,0.000166361670271,37164572,ok
33,3.0,-350.0,run_gg_4h_5_3.0_-350.0,40000,40000,0.0027611,2.7611,2.7608e-06,2.7608,0.000108652348702,36787973,ok
34,3.0,350.0,run_gg_4h_5_3.0_350.0,40000,40000,0.00263628,2.63628,2.6361e-06,2.6361,6.82780281307e-05,36927990,ok
35,0.0,-250.0,run_gg_4h_5_0.0_-250.0,40000,40000,0.00032928,0.32928,3.2926e-07,0.32926,6.07385811468e-05,37415278,ok
36,0.0,250.0,run_gg_4h_5_0.0_250.0,40000,40000,0.00030721,0.30721,3.0718e-07,0.30718,9.76530711894e-05,37463531,ok
37,6.0,-200.0,run_gg_4h_5_6.0_-200.0,40000,40000,0.0027393,2.7393,2.7392e-06,2.7392,3.65056766328e-05,36752475,ok
38,-0.258819,0.0,run_gg_4h_5_-0.258819_0.0,40000,40000,1.27137e-07,0.000127137,1.2712e-10,0.00012712,0.000133714025028,36709167,ok
39,-0.866025,70.7107,run_gg_4h_5_-0.866025_70.7107,40000,40000,2.77886e-05,0.0277886,2.7787e-08,0.027787,5.75775677796e-05,37216120,ok
40,-0.866025,-100.0,run_gg_4h_5_-0.866025_-100.0,40000,40000,6.4948e-05,0.064948,6.4946e-08,0.064946,3.0793865862e-05,37171789,ok
41,-0.5,0.0,run_gg_4h_5_-0.5_0.0,40000,40000,1.38966e-07,0.000138966,1.3895e-10,0.00013895,0.00011513607645,36550819,ok
42,0.5,-70.7107,run_gg_4h_5_0.5_-70.7107,40000,40000,3.252e-05,0.03252,3.2518e-08,0.032518,6.15006150062e-05,37320285,ok
43,-12.0,100.0,run_gg_4h_5_-12.0_100.0,40000,40000,0.0085026,8.5026,8.501e-06,8.501,0.000188177733869,36039883,ok
44,-12.0,0.0,run_gg_4h_5_-12.0_0.0,40000,40000,0.00202515,2.02515,2.02515e-06,2.02515,0,35587333,ok
45,-12.0,300.0,run_gg_4h_5_-12.0_300.0,40000,40000,0.03687,36.87,3.6868e-05,36.868,5.42446433413e-05,36293173,ok
46,-0.866025,-70.7107,run_gg_4h_5_-0.866025_-70.7107,40000,40000,3.34217e-05,0.0334217,3.342e-08,0.03342,5.08651564702e-05,37216438,ok
47,0.5,100.0,run_gg_4h_5_0.5_100.0,40000,40000,5.1708e-05,0.051708,5.1703e-08,0.051703,9.66968360794e-05,37459068,ok
48,12.0,300.0,run_gg_4h_5_12.0_300.0,40000,40000,0.031597,31.597,3.1595e-05,31.595,6.32971484635e-05,36414313,ok
49,-9.0,-300.0,run_gg_4h_5_-9.0_-300.0,40000,40000,0.0095072,9.5072,9.506e-06,9.506,0.000126220127903,36850456,ok
50,3.0,-300.0,run_gg_4h_5_3.0_-300.0,40000,40000,0.00204688,2.04688,2.0468e-06,2.0468,3.90838739936e-05,36816729,ok
51,30.0,700.0,run_gg_4h_5_30.0_700.0,40000,40000,1.85673,1856.73,0.0018564,1856.4,0.000177731818843,36134778,ok
52,-0.866025,0.0,run_gg_4h_5_-0.866025_0.0,40000,40000,1.73243e-07,0.000173243,1.7321e-10,0.00017321,0.000190483886795,36121736,ok
53,-6.0,-200.0,run_gg_4h_5_-6.0_-200.0,40000,40000,0.00217243,2.17243,2.17238e-06,2.17238,2.30157013114e-05,36758317,ok
54,6.0,-300.0,run_gg_4h_5_6.0_-300.0,40000,40000,0.0062055,6.2055,6.2052e-06,6.2052,4.83442107805e-05,36693369,ok
55,12.0,-100.0,run_gg_4h_5_12.0_-100.0,40000,40000,0.00120182,1.20182,1.20179e-06,1.20179,2.49621407532e-05,37490308,ok
56,1.0,-70.7107,run_gg_4h_5_1.0_-70.7107,40000,40000,4.1491e-05,0.041491,4.1489e-08,0.041489,4.82032247956e-05,37178385,ok
