index,c3,d4,run_name,workdir,root_file,root_bytes,merge_summary,merged_events,zero_weight_events,merged_xsec_pb,analysis_xsec_fb,herwig_total_xsec_nb,herwig_total_xsec_fb,relative_difference,status
1,-10.5,-50.0,run_gg_hhhg_4_-10.5_-50.0,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727/events/run_gg_hhhg_4_-10.5_-50.0_hhhbb_stage2.root,7867306,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727/run_gg_hhhg_4_-10.5_-50.0/merge_summary.json,10000,0,0.00021712128174,0.21712128174,2.17e-07,0.217,0.000558589828998,ok
2,-10.5,50.0,run_gg_hhhg_4_-10.5_50.0,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727/events/run_gg_hhhg_4_-10.5_50.0_hhhbb_stage2.root,7933037,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727/run_gg_hhhg_4_-10.5_50.0/merge_summary.json,10000,0,0.000502018696147,0.502018696147,5.02e-07,0.502,3.72419329124e-05,ok
3,-7.5,-150.0,run_gg_hhhg_4_-7.5_-150.0,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727/events/run_gg_hhhg_4_-7.5_-150.0_hhhbb_stage2.root,8460412,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727/run_gg_hhhg_4_-7.5_-150.0/merge_summary.json,10000,0,4.30950394725e-05,0.0430950394725,4.31e-08,0.0431,0.000115106693236,ok
4,-7.5,-50.0,run_gg_hhhg_4_-7.5_-50.0,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727/events/run_gg_hhhg_4_-7.5_-50.0_hhhbb_stage2.root,7861810,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727/run_gg_hhhg_4_-7.5_-50.0/merge_summary.json,10000,0,5.21192502882e-05,0.0521192502882,5.21e-08,0.0521,0.000369350826692,ok
5,-7.5,50.0,run_gg_hhhg_4_-7.5_50.0,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727/events/run_gg_hhhg_4_-7.5_50.0_hhhbb_stage2.root,7950192,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727/run_gg_hhhg_4_-7.5_50.0/merge_summary.json,10000,1,0.000201914831135,0.201914831135,2.02e-07,0.202,0.000421805890635,ok
6,-4.5,-150.0,run_gg_hhhg_4_-4.5_-150.0,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727/events/run_gg_hhhg_4_-4.5_-150.0_hhhbb_stage2.root,8327195,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727/run_gg_hhhg_4_-4.5_-150.0/merge_summary.json,10000,0,9.67896499458e-05,0.0967896499458,9.68e-08,0.0968,0.000106933480649,ok
7,-4.5,50.0,run_gg_hhhg_4_-4.5_50.0,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727/events/run_gg_hhhg_4_-4.5_50.0_hhhbb_stage2.root,8010664,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727/run_gg_hhhg_4_-4.5_50.0/merge_summary.json,10000,0,7.64138154564e-05,0.0764138154564,7.64e-08,0.0764,0.000180797886972,ok
8,-4.5,150.0,run_gg_hhhg_4_-4.5_150.0,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727/events/run_gg_hhhg_4_-4.5_150.0_hhhbb_stage2.root,8082525,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727/run_gg_hhhg_4_-4.5_150.0/merge_summary.json,10000,1,0.000294453713468,0.294453713468,2.94e-07,0.294,0.00154086515982,ok
9,-1.5,-250.0,run_gg_hhhg_4_-1.5_-250.0,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727/events/run_gg_hhhg_4_-1.5_-250.0_hhhbb_stage2.root,8199322,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727/run_gg_hhhg_4_-1.5_-250.0/merge_summary.json,10000,0,0.000453781248051,0.453781248051,4.54e-07,0.454,0.000482064761331,ok
10,-1.5,-150.0,run_gg_hhhg_4_-1.5_-150.0,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727/events/run_gg_hhhg_4_-1.5_-150.0_hhhbb_stage2.root,8185499,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727/run_gg_hhhg_4_-1.5_-150.0/merge_summary.json,10000,1,0.000159756505701,0.159756505701,1.6e-07,0.16,0.00152415889221,ok
