index,worker,order_in_worker,source,c3,d4,run_group,run_name,target_events,seed
1,1,1,refinement_36,-10.5,-50.0,5,run_gg_4h_5_-10.5_-50.0,40000,851125212
2,2,1,refinement_36,-10.5,50.0,5,run_gg_4h_5_-10.5_50.0,40000,131577902
3,3,1,refinement_36,-7.5,-150.0,5,run_gg_4h_5_-7.5_-150.0,40000,284153160
4,4,1,refinement_36,-7.5,-50.0,5,run_gg_4h_5_-7.5_-50.0,40000,338432600
5,5,1,refinement_36,-7.5,50.0,5,run_gg_4h_5_-7.5_50.0,40000,36892471
6,6,1,refinement_36,-4.5,-150.0,5,run_gg_4h_5_-4.5_-150.0,40000,708616138
7,7,1,refinement_36,-4.5,50.0,5,run_gg_4h_5_-4.5_50.0,40000,233534837
8,8,1,refinement_36,-4.5,150.0,5,run_gg_4h_5_-4.5_150.0,40000,665013912
9,9,1,refinement_36,-1.5,-250.0,5,run_gg_4h_5_-1.5_-250.0,40000,564259400
10,10,1,refinement_36,-1.5,-150.0,5,run_gg_4h_5_-1.5_-150.0,40000,23804151
11,11,1,refinement_36,-1.5,150.0,5,run_gg_4h_5_-1.5_150.0,40000,416630201
12,1,2,refinement_36,-1.5,250.0,5,run_gg_4h_5_-1.5_250.0,40000,25879033
13,2,2,refinement_36,1.5,-250.0,5,run_gg_4h_5_1.5_-250.0,40000,704930491
14,3,2,refinement_36,1.5,-150.0,5,run_gg_4h_5_1.5_-150.0,40000,399834556
15,4,2,refinement_36,1.5,150.0,5,run_gg_4h_5_1.5_150.0,40000,305278584
16,5,2,refinement_36,1.5,250.0,5,run_gg_4h_5_1.5_250.0,40000,209568557
17,6,2,refinement_36,4.5,-150.0,5,run_gg_4h_5_4.5_-150.0,40000,675819458
18,7,2,refinement_36,4.5,-50.0,5,run_gg_4h_5_4.5_-50.0,40000,138878055
19,8,2,refinement_36,4.5,50.0,5,run_gg_4h_5_4.5_50.0,40000,741632289
20,9,2,refinement_36,4.5,150.0,5,run_gg_4h_5_4.5_150.0,40000,430632998
21,10,2,refinement_36,7.5,-50.0,5,run_gg_4h_5_7.5_-50.0,40000,132461418
22,11,2,refinement_36,7.5,50.0,5,run_gg_4h_5_7.5_50.0,40000,767148470
23,1,3,refinement_36,10.5,-50.0,5,run_gg_4h_5_10.5_-50.0,40000,47873149
24,2,3,refinement_36,10.5,50.0,5,run_gg_4h_5_10.5_50.0,40000,709760991
25,3,3,refinement_36,-3.0,-350.0,5,run_gg_4h_5_-3.0_-350.0,40000,591978940
26,4,3,refinement_36,-3.0,350.0,5,run_gg_4h_5_-3.0_350.0,40000,71750864
27,5,3,refinement_36,-1.5,-350.0,5,run_gg_4h_5_-1.5_-350.0,40000,309140993
28,6,3,refinement_36,-1.5,350.0,5,run_gg_4h_5_-1.5_350.0,40000,415528814
29,7,3,refinement_36,0.0,-350.0,5,run_gg_4h_5_0.0_-350.0,40000,475577515
30,8,3,refinement_36,0.0,350.0,5,run_gg_4h_5_0.0_350.0,40000,224647253
31,9,3,refinement_36,1.5,-350.0,5,run_gg_4h_5_1.5_-350.0,40000,574905000
32,10,3,refinement_36,1.5,350.0,5,run_gg_4h_5_1.5_350.0,40000,323626925
33,11,3,refinement_36,3.0,-350.0,5,run_gg_4h_5_3.0_-350.0,40000,478048622
34,1,4,refinement_36,3.0,350.0,5,run_gg_4h_5_3.0_350.0,40000,324202396
35,2,4,refinement_36,0.0,-250.0,5,run_gg_4h_5_0.0_-250.0,40000,312667564
36,3,4,refinement_36,0.0,250.0,5,run_gg_4h_5_0.0_250.0,40000,404457969
37,4,4,bridge_60,6.0,-200.0,5,run_gg_4h_5_6.0_-200.0,40000,154537621
38,5,4,signal_57,-0.258819,0.0,5,run_gg_4h_5_-0.258819_0.0,40000,847193665
39,6,4,signal_57,-0.866025,70.7107,5,run_gg_4h_5_-0.866025_70.7107,40000,548837639
40,7,4,signal_57,-0.866025,-100.0,5,run_gg_4h_5_-0.866025_-100.0,40000,775909277
41,8,4,signal_57,-0.5,0.0,5,run_gg_4h_5_-0.5_0.0,40000,564701193
42,9,4,signal_57,0.5,-70.7107,5,run_gg_4h_5_0.5_-70.7107,40000,137864107
43,10,4,bridge_60,-12.0,100.0,5,run_gg_4h_5_-12.0_100.0,40000,576155818
44,11,4,bridge_60,-12.0,0.0,5,run_gg_4h_5_-12.0_0.0,40000,163956394
45,1,5,bridge_60,-12.0,300.0,5,run_gg_4h_5_-12.0_300.0,40000,853406837
46,2,5,signal_57,-0.866025,-70.7107,5,run_gg_4h_5_-0.866025_-70.7107,40000,154666606
47,3,5,signal_57,0.5,100.0,5,run_gg_4h_5_0.5_100.0,40000,779225544
48,4,5,bridge_60,12.0,300.0,5,run_gg_4h_5_12.0_300.0,40000,541231778
49,5,5,bridge_60,-9.0,-300.0,5,run_gg_4h_5_-9.0_-300.0,40000,172090248
50,6,5,bridge_60,3.0,-300.0,5,run_gg_4h_5_3.0_-300.0,40000,307970459
51,7,5,signal_57,30.0,700.0,5,run_gg_4h_5_30.0_700.0,40000,341750183
52,8,5,signal_57,-0.866025,0.0,5,run_gg_4h_5_-0.866025_0.0,40000,791525817
53,9,5,bridge_60,-6.0,-200.0,5,run_gg_4h_5_-6.0_-200.0,40000,823219052
54,10,5,bridge_60,6.0,-300.0,5,run_gg_4h_5_6.0_-300.0,40000,72503300
55,11,5,bridge_60,12.0,-100.0,5,run_gg_4h_5_12.0_-100.0,40000,679401939
56,1,6,signal_57,1.0,-70.7107,5,run_gg_4h_5_1.0_-70.7107,40000,245416863
57,2,6,bridge_60,-12.0,-100.0,5,run_gg_4h_5_-12.0_-100.0,40000,710267879
58,3,6,bridge_60,9.0,-200.0,5,run_gg_4h_5_9.0_-200.0,40000,502564457
59,4,6,bridge_60,12.0,0.0,5,run_gg_4h_5_12.0_0.0,40000,598385287
60,5,6,bridge_60,3.0,100.0,5,run_gg_4h_5_3.0_100.0,40000,212675537
61,6,6,bridge_60,3.0,0.0,5,run_gg_4h_5_3.0_0.0,40000,843120312
62,7,6,bridge_60,12.0,200.0,5,run_gg_4h_5_12.0_200.0,40000,492150536
63,8,6,bridge_60,9.0,0.0,5,run_gg_4h_5_9.0_0.0,40000,854988654
64,9,6,signal_57,-21.2132,-700.0,5,run_gg_4h_5_-21.2132_-700.0,40000,304969013
65,10,6,bridge_60,-3.0,100.0,5,run_gg_4h_5_-3.0_100.0,40000,429166315
66,11,6,signal_57,21.2132,-700.0,5,run_gg_4h_5_21.2132_-700.0,40000,887579132
67,1,7,signal_57,-1.0,70.7107,5,run_gg_4h_5_-1.0_70.7107,40000,602390265
68,2,7,bridge_60,-6.0,100.0,5,run_gg_4h_5_-6.0_100.0,40000,591591133
69,3,7,bridge_60,-9.0,100.0,5,run_gg_4h_5_-9.0_100.0,40000,531103153
70,4,7,signal_57,0.0,-70.7107,5,run_gg_4h_5_0.0_-70.7107,40000,536105198
71,5,7,signal_57,-25.9808,0.0,5,run_gg_4h_5_-25.9808_0.0,40000,777481611
72,6,7,signal_57,-15.0,0.0,5,run_gg_4h_5_-15.0_0.0,40000,568977437
73,7,7,signal_57,-30.0,0.0,5,run_gg_4h_5_-30.0_0.0,40000,227075053
74,8,7,bridge_60,9.0,200.0,5,run_gg_4h_5_9.0_200.0,40000,24657360
75,9,7,signal_57,-0.5,100.0,5,run_gg_4h_5_-0.5_100.0,40000,891814960
76,10,7,bridge_60,6.0,0.0,5,run_gg_4h_5_6.0_0.0,40000,489625138
77,11,7,signal_57,1.0,70.7107,5,run_gg_4h_5_1.0_70.7107,40000,711429699
